,region,province,zip_code,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
7018,Flanders,Antwerp,2100,APARTMENT,APARTMENT,254000.0,1.0,55.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,0.0,1.0,0,AS_NEW
7019,Flanders,West Flanders,8300,APARTMENT,APARTMENT,895000.0,3.0,100.0,INSTALLED,0,0,1,0.0,0,0.0,0.0,1.0,0,GOOD
7020,Wallonie,Walloon Brabant,1410,HOUSE,HOUSE,589000.0,3.0,176.0,USA_HYPER_EQUIPPED,0,0,1,15.0,1,62.0,0.0,2.0,0,AS_NEW
7021,Wallonie,Walloon Brabant,1410,HOUSE,HOUSE,595000.0,4.0,196.0,USA_HYPER_EQUIPPED,0,0,1,24.0,1,10.0,0.0,2.0,0,AS_NEW
7022,Wallonie,Walloon Brabant,1390,HOUSE,EXCEPTIONAL_PROPERTY,695000.0,4.0,180.0,INSTALLED,0,1,1,40.0,1,0.0,1521.0,4.0,0,JUST_RENOVATED
7023,Flanders,Antwerp,2820,HOUSE,HOUSE,775000.0,5.0,230.0,INSTALLED,0,0,1,12.0,0,0.0,445.0,3.0,1,0
7024,Flanders,Antwerp,2930,HOUSE,HOUSE,875000.0,5.0,420.0,USA_HYPER_EQUIPPED,0,0,1,0.0,0,0.0,2146.0,4.0,0,GOOD
7025,Flanders,Antwerp,2180,HOUSE,EXCEPTIONAL_PROPERTY,1295000.0,5.0,392.0,HYPER_EQUIPPED,0,0,1,0.0,1,2000.0,2710.0,4.0,0,AS_NEW
7026,Flanders,Antwerp,2800,HOUSE,APARTMENT_BLOCK,379000.0,3.0,176.0,SEMI_EQUIPPED,0,0,0,0.0,0,0.0,85.0,2.0,0,TO_BE_DONE_UP
7027,Wallonie,Namur,5170,HOUSE,HOUSE,399999.0,5.0,226.0,INSTALLED,0,1,1,74.04161384425049,1,0.0,1074.0,4.0,0,TO_BE_DONE_UP
7028,Wallonie,Liège,4500,HOUSE,VILLA,180000.0,3.0,158.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,961.0,4.0,0,TO_RENOVATE
7029,Wallonie,Liège,4500,HOUSE,APARTMENT_BLOCK,319000.0,4.0,170.0,SEMI_EQUIPPED,0,0,0,0.0,0,0.0,96.0,1.0,0,GOOD
7031,Flanders,West Flanders,8793,HOUSE,HOUSE,235000.0,3.0,202.0,SEMI_EQUIPPED,0,0,1,0.0,1,0.0,465.0,2.0,0,TO_BE_DONE_UP
7036,Flanders,East Flanders,9600,HOUSE,VILLA,650000.0,4.0,500.0,INSTALLED,0,1,1,0.0,0,0.0,2975.0,4.0,0,0
7037,Flanders,East Flanders,9680,HOUSE,VILLA,650000.0,4.0,500.0,INSTALLED,0,1,1,0.0,0,0.0,2975.0,4.0,0,0
7039,Wallonie,Walloon Brabant,1390,HOUSE,HOUSE,1750000.0,5.0,599.7251200911202,HYPER_EQUIPPED,0,0,1,0.0,0,0.0,5320.0,4.0,1,GOOD
7044,Flanders,East Flanders,9500,HOUSE,HOUSE,120000.0,3.0,129.0,NOT_INSTALLED,0,0,1,7.0,0,0.0,80.0,2.0,0,TO_RENOVATE
7045,Flanders,East Flanders,9400,HOUSE,HOUSE,178000.0,3.0,170.0,INSTALLED,0,0,1,0.0,0,0.0,100.0,2.0,0,TO_RENOVATE
7046,Flanders,East Flanders,9420,HOUSE,HOUSE,229000.0,3.0,150.0,INSTALLED,0,0,1,0.0,0,0.0,363.0,3.0,0,TO_RENOVATE
7047,Flanders,East Flanders,9300,HOUSE,HOUSE,319000.0,3.0,170.0,INSTALLED,0,0,1,35.0,1,100.0,372.0,3.0,0,TO_BE_DONE_UP
7048,Flanders,East Flanders,9320,HOUSE,HOUSE,319000.0,3.0,170.0,INSTALLED,0,0,1,35.0,1,100.0,372.0,3.0,0,TO_BE_DONE_UP
